Date,Day_of_Week,Is_Weekend,Is_Holiday,Promotion,Units_Sold,Revenue,Traffic_Score
2025-01-01,Wednesday,0,1,1,245,61250,85
2025-01-02,Thursday,0,0,0,189,47250,72
2025-01-03,Friday,0,0,0,198,49500,74
2025-01-04,Saturday,1,0,1,267,66750,91
2025-01-05,Sunday,1,0,0,156,39000,65
2025-02-01,Monday,0,0,0,178,44500,70
2025-02-02,Tuesday,0,0,0,165,41250,68
2025-02-03,Wednesday,0,0,1,234,58500,82
2025-02-04,Thursday,0,0,0,192,48000,73
2025-02-05,Friday,0,0,0,203,50750,76
2025-03-01,Saturday,1,0,1,289,72250,95
2025-03-02,Sunday,1,0,0,167,41750,66
2025-03-03,Monday,0,0,0,185,46250,71
2025-03-04,Tuesday,0,0,1,245,61250,84
2025-03-05,Wednesday,0,0,0,199,49750,75
2025-04-01,Tuesday,0,0,0,172,43000,69
2025-04-02,Wednesday,0,0,1,256,64000,88
2025-04-03,Thursday,0,0,0,195,48750,74
2025-04-04,Friday,0,0,0,208,52000,77
2025-04-05,Saturday,1,0,1,278,69500,94
2025-05-01,Thursday,0,1,1,312,78000,98
2025-05-02,Friday,0,0,0,215,53750,79
2025-05-03,Saturday,1,0,0,159,39750,64
2025-05-04,Sunday,1,0,1,268,67000,90
2025-05-05,Monday,0,0,0,188,47000,72
2025-06-01,Sunday,1,0,1,271,67750,92
2025-06-02,Monday,0,0,0,182,45500,70
2025-06-03,Tuesday,0,0,0,169,42250,67
2025-06-04,Wednesday,0,0,1,248,62000,86
2025-06-05,Thursday,0,0,0,201,50250,76
2025-07-01,Tuesday,0,0,0,175,43750,69
2025-07-02,Wednesday,0,0,1,259,64750,89
2025-07-03,Thursday,0,1,1,298,74500,96
2025-07-04,Friday,0,0,0,212,53000,78
2025-07-05,Saturday,1,0,0,162,40500,65
2025-08-01,Friday,0,0,1,268,67000,91
2025-08-02,Saturday,1,0,0,158,39500,63
2025-08-03,Sunday,1,0,1,275,68750,93
2025-08-04,Monday,0,0,0,186,46500,71
2025-08-05,Tuesday,0,0,0,174,43500,68
2025-09-01,Monday,0,0,1,254,63500,87
2025-09-02,Tuesday,0,0,0,177,44250,69
2025-09-03,Wednesday,0,0,0,191,47750,73
2025-09-04,Thursday,0,0,1,262,65500,89
2025-09-05,Friday,0,0,0,209,52250,77
2025-10-01,Wednesday,0,0,0,197,49250,75
2025-10-02,Thursday,0,0,1,266,66500,90
2025-10-03,Friday,0,0,0,213,53250,78
2025-10-04,Saturday,1,0,0,165,41250,66
2025-10-05,Sunday,1,0,1,282,70500,94
2025-11-01,Saturday,1,0,1,285,71250,95
2025-11-02,Sunday,1,0,0,168,42000,67
2025-11-03,Monday,0,0,0,184,46000,71
2025-11-04,Tuesday,0,0,1,251,62750,86
2025-11-05,Wednesday,0,0,0,196,49000,74
2025-12-01,Monday,0,0,1,258,64500,88
2025-12-02,Tuesday,0,0,0,181,45250,70
2025-12-03,Wednesday,0,0,0,194,48500,74
2025-12-04,Thursday,0,1,1,305,76250,99
2025-12-05,Friday,0,0,0,218,54500,80
